Unofficial Name,Name,Actual Precedence,Precedence[ ],Precedence[ ] Corrected,WolframLanguageData[ ],WolframLanguageData[ ] Corrected,UnicodeCharacters.tr,UnicodeCharacters.tr Corrected,N Tokens,L Tokens,O Tokens,Usage,Parse,FullForm,Arity,Affix,Associativity,Meaningful,Comments
LeftArrowRightArrow,LeftArrowRightArrow,340,270,270,,50.6,380,380,{},"{""⇆""}",{},"{{""x"", ""⇆"", ""y""}}","{""LeftArrowRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","LeftArrowRightArrow[x, y]",Binary,Infix,None,False,
LeftRightArrow,LeftRightArrow,340,270,270,,50.6,380,380,{},"{""↔""}",{},"{{""x"", ""↔"", ""y""}}","{""LeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","LeftRightArrow[x, y]",Binary,Infix,None,False,
LeftRightVector,LeftRightVector,340,270,270,,50.6,380,380,{},"{""⥎""}",{},"{{""x"", ""⥎"", ""y""}}","{""LeftRightVector"", ""["", ""x"", "","", ""y"", ""]""}","LeftRightVector[x, y]",Binary,Infix,None,False,
LeftTeeArrow,LeftTeeArrow,340,270,270,,50.6,380,380,{},"{""↤""}",{},"{{""x"", ""↤"", ""y""}}","{""LeftTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}","LeftTeeArrow[x, y]",Binary,Infix,None,False,
LeftTeeVector,LeftTeeVector,340,270,270,,50.6,380,380,{},"{""⥚""}",{},"{{""x"", ""⥚"", ""y""}}","{""LeftTeeVector"", ""["", ""x"", "","", ""y"", ""]""}","LeftTeeVector[x, y]",Binary,Infix,None,False,
LeftVector,LeftVector,340,270,270,,50.6,380,380,{},"{""↼""}",{},"{{""x"", ""↼"", ""y""}}","{""LeftVector"", ""["", ""x"", "","", ""y"", ""]""}","LeftVector[x, y]",Binary,Infix,None,False,
LeftVectorBar,LeftVectorBar,340,270,270,,50.6,380,380,{},"{""⥒""}",{},"{{""x"", ""⥒"", ""y""}}","{""LeftVectorBar"", ""["", ""x"", "","", ""y"", ""]""}","LeftVectorBar[x, y]",Binary,Infix,None,False,
LowerLeftArrow,LowerLeftArrow,340,270,270,,50.6,380,380,{},"{""↙""}",{},"{{""x"", ""↙"", ""y""}}","{""LowerLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","LowerLeftArrow[x, y]",Binary,Infix,None,False,
LowerRightArrow,LowerRightArrow,340,270,270,,50.6,380,380,{},"{""↘""}",{},"{{""x"", ""↘"", ""y""}}","{""LowerRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","LowerRightArrow[x, y]",Binary,Infix,None,False,
RightArrow,RightArrow,340,270,270,,50.6,380,380,{},"{""→""}",{},"{{""x"", ""→"", ""y""}}","{""RightArrow"", ""["", ""x"", "","", ""y"", ""]""}","RightArrow[x, y]",Binary,Infix,None,False,
RightArrowBar,RightArrowBar,340,270,270,,50.6,380,380,{},"{""⇥""}",{},"{{""x"", ""⇥"", ""y""}}","{""RightArrowBar"", ""["", ""x"", "","", ""y"", ""]""}","RightArrowBar[x, y]",Binary,Infix,None,False,
RightArrowLeftArrow,RightArrowLeftArrow,340,270,270,,50.6,380,380,{},"{""⇄""}",{},"{{""x"", ""⇄"", ""y""}}","{""RightArrowLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","RightArrowLeftArrow[x, y]",Binary,Infix,None,False,
RightTeeArrow,RightTeeArrow,340,270,270,,50.6,380,380,{},"{""↦""}",{},"{{""x"", ""↦"", ""y""}}","{""RightTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}","RightTeeArrow[x, y]",Binary,Infix,None,False,
RightTeeVector,RightTeeVector,340,270,270,,50.6,380,380,{},"{""⥛""}",{},"{{""x"", ""⥛"", ""y""}}","{""RightTeeVector"", ""["", ""x"", "","", ""y"", ""]""}","RightTeeVector[x, y]",Binary,Infix,None,False,
RightVector,RightVector,340,270,270,,50.6,380,380,{},"{""⇀""}",{},"{{""x"", ""⇀"", ""y""}}","{""RightVector"", ""["", ""x"", "","", ""y"", ""]""}","RightVector[x, y]",Binary,Infix,None,False,
RightVectorBar,RightVectorBar,340,270,270,,50.6,380,380,{},"{""⥓""}",{},"{{""x"", ""⥓"", ""y""}}","{""RightVectorBar"", ""["", ""x"", "","", ""y"", ""]""}","RightVectorBar[x, y]",Binary,Infix,None,False,
ShortLeftArrow,ShortLeftArrow,340,270,270,,50.6,380,380,{},"{""""}",{},"{{""x"", """", ""y""}}","{""ShortLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","ShortLeftArrow[x, y]",Binary,Infix,None,False,
ShortRightArrow,ShortRightArrow,340,270,270,,50.6,380,380,{},"{""""}",{},"{{""x"", """", ""y""}}","{""ShortRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","ShortRightArrow[x, y]",Binary,Infix,None,False,
UpperLeftArrow,UpperLeftArrow,340,270,270,,50.6,380,380,{},"{""↖""}",{},"{{""x"", ""↖"", ""y""}}","{""UpperLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}","UpperLeftArrow[x, y]",Binary,Infix,None,False,
UpperRightArrow,UpperRightArrow,340,270,270,,50.6,380,380,{},"{""↗""}",{},"{{""x"", ""↗"", ""y""}}","{""UpperRightArrow"", ""["", ""x"", "","", ""y"", ""]""}","UpperRightArrow[x, y]",Binary,Infix,None,False,
SameQ,SameQ,330,290,260,51,51,,370,{},"{""===""}",{},"{{""expr1"", ""==="", ""expr2""}}","{""SameQ"", ""["", ""expr1"", "","", ""expr2"", ""]""}","SameQ[expr1, expr2]",Binary,Infix,None,True,
UnsameQ,UnsameQ,330,290,260,51,51,,370,{},"{""=!=""}",{},"{{""expr1"", ""=!="", ""expr2""}}","{""UnsameQ"", ""["", ""expr1"", "","", ""expr2"", ""]""}","UnsameQ[expr1, expr2]",Binary,Infix,None,True,
Distributed,Distributed,320,250,250,,52,360,360,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""Distributed"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Distributed[expr1, expr2]",Binary,Infix,None,True,
Element,Element,320,250,250,52,52,360,360,{},"{""∈""}",{},"{{""expr1"", ""∈"", ""expr2""}}","{""Element"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Element[expr1, expr2]",Binary,Infix,None,True,
NotElement,NotElement,320,250,250,52,52,360,360,{},"{""∉""}",{},"{{""expr1"", ""∉"", ""expr2""}}","{""NotElement"", ""["", ""expr1"", "","", ""expr2"", ""]""}","NotElement[expr1, expr2]",Binary,Infix,None,True,
NotReverseElement,NotReverseElement,320,250,250,,52,360,360,{},"{""∌""}",{},"{{""x"", ""∌"", ""y""}}","{""NotReverseElement"", ""["", ""x"", "","", ""y"", ""]""}","NotReverseElement[x, y]",Binary,Infix,None,False,
NotSquareSubset,NotSquareSubset,320,250,250,,52,360,360,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotSquareSubset"", ""["", ""x"", "","", ""y"", ""]""}","NotSquareSubset[x, y]",Binary,Infix,None,False,
NotSquareSubsetEqual,NotSquareSubsetEqual,320,250,250,,52,360,360,{},"{""⋢""}",{},"{{""x"", ""⋢"", ""y""}}","{""NotSquareSubsetEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSquareSubsetEqual[x, y]",Binary,Infix,None,False,
NotSquareSuperset,NotSquareSuperset,320,250,250,,52,360,360,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotSquareSuperset"", ""["", ""x"", "","", ""y"", ""]""}","NotSquareSuperset[x, y]",Binary,Infix,None,False,
NotSquareSupersetEqual,NotSquareSupersetEqual,320,250,250,,52,360,360,{},"{""⋣""}",{},"{{""x"", ""⋣"", ""y""}}","{""NotSquareSupersetEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSquareSupersetEqual[x, y]",Binary,Infix,None,False,
NotSubset,NotSubset,320,250,250,,52,360,360,{},"{""⊄""}",{},"{{""x"", ""⊄"", ""y""}}","{""NotSubset"", ""["", ""x"", "","", ""y"", ""]""}","NotSubset[x, y]",Binary,Infix,None,False,
NotSubsetEqual,NotSubsetEqual,320,250,250,,52,360,360,{},"{""⊈""}",{},"{{""x"", ""⊈"", ""y""}}","{""NotSubsetEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSubsetEqual[x, y]",Binary,Infix,None,False,
NotSuperset,NotSuperset,320,250,250,,52,360,360,{},"{""⊅""}",{},"{{""x"", ""⊅"", ""y""}}","{""NotSuperset"", ""["", ""x"", "","", ""y"", ""]""}","NotSuperset[x, y]",Binary,Infix,None,False,
NotSupersetEqual,NotSupersetEqual,320,250,250,,52,360,360,{},"{""⊉""}",{},"{{""x"", ""⊉"", ""y""}}","{""NotSupersetEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotSupersetEqual[x, y]",Binary,Infix,None,False,
ReverseElement,ReverseElement,320,250,250,,52,360,360,{},"{""∋""}",{},"{{""x"", ""∋"", ""y""}}","{""ReverseElement"", ""["", ""x"", "","", ""y"", ""]""}","ReverseElement[x, y]",Binary,Infix,None,False,
SquareSubset,SquareSubset,320,250,250,,52,360,360,{},"{""⊏""}",{},"{{""x"", ""⊏"", ""y""}}","{""SquareSubset"", ""["", ""x"", "","", ""y"", ""]""}","SquareSubset[x, y]",Binary,Infix,None,False,
SquareSubsetEqual,SquareSubsetEqual,320,250,250,,52,360,360,{},"{""⊑""}",{},"{{""x"", ""⊑"", ""y""}}","{""SquareSubsetEqual"", ""["", ""x"", "","", ""y"", ""]""}","SquareSubsetEqual[x, y]",Binary,Infix,None,False,
SquareSuperset,SquareSuperset,320,250,250,,52,360,360,{},"{""⊐""}",{},"{{""x"", ""⊐"", ""y""}}","{""SquareSuperset"", ""["", ""x"", "","", ""y"", ""]""}","SquareSuperset[x, y]",Binary,Infix,None,False,
SquareSupersetEqual,SquareSupersetEqual,320,250,250,,52,360,360,{},"{""⊒""}",{},"{{""x"", ""⊒"", ""y""}}","{""SquareSupersetEqual"", ""["", ""x"", "","", ""y"", ""]""}","SquareSupersetEqual[x, y]",Binary,Infix,None,False,
Subset,Subset,320,250,250,52,52,360,360,{},"{""⊂""}",{},"{{""expr1"", ""⊂"", ""expr2""}}","{""Subset"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Subset[expr1, expr2]",Binary,Infix,None,False,
SubsetEqual,SubsetEqual,320,250,250,,52,360,360,{},"{""⊆""}",{},"{{""x"", ""⊆"", ""y""}}","{""SubsetEqual"", ""["", ""x"", "","", ""y"", ""]""}","SubsetEqual[x, y]",Binary,Infix,None,False,
Superset,Superset,320,250,250,52,52,360,360,{},"{""⊃""}",{},"{{""expr1"", ""⊃"", ""expr2""}}","{""Superset"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Superset[expr1, expr2]",Binary,Infix,None,False,
SupersetEqual,SupersetEqual,320,250,250,,52,360,360,{},"{""⊇""}",{},"{{""x"", ""⊇"", ""y""}}","{""SupersetEqual"", ""["", ""x"", "","", ""y"", ""]""}","SupersetEqual[x, y]",Binary,Infix,None,False,
Exists,Exists,310,240,240,53,53,350,350,"{""∃""}",{},{},"{{""∃"", ""expr""}}","{""Exists"", ""["", ""expr"", ""]""}",,Unary,Prefix,Right,True,Usage and Parse may not be correct.
ForAll,ForAll,310,240,240,53,53,350,350,"{""∀""}",{},{},"{{""∀"", ""expr""}}","{""ForAll"", ""["", ""expr"", ""]""}",,Unary,Prefix,Right,True,Usage and Parse may not be correct.
NotExists,NotExists,310,240,240,53,53,350,350,"{""∄""}",{},{},"{{""∄"", ""expr""}}","{""NotExists"", ""["", ""expr"", ""]""}",,Unary,Prefix,Right,True,Usage and Parse may not be correct.
Not,Not,300,230,230,54,54,340,340,"{""!"", ""¬""}",{},{},"{{""!"", ""expr""}, {""¬"", ""expr""}}","{""Not"", ""["", ""expr"", ""]""}",Not[expr],Unary,Prefix,Right,True,
And,And,290,215,220,55,55,330,330,{},"{""&&"", ""∧""}",{},"{{""expr1"", ""&&"", ""expr2""}, {""expr1"", ""∧"", ""expr2""}}","{""And"", ""["", ""expr1"", "","", ""expr2"", ""]""}","And[expr1, expr2]",Binary,Infix,None,True,
Nand,Nand,290,215,220,55,55,330,330,{},"{""⊼""}",{},"{{""expr1"", ""⊼"", ""expr2""}}","{""Nand"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Nand[expr1, expr2]",Binary,Infix,None,True,
Xnor,Xnor,280,215,215,56,56,325,325,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""Xnor"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Xnor[expr1, expr2]",Binary,Infix,None,True,
Xor,Xor,280,215,215,56,56,325,325,{},"{""⊻""}",{},"{{""expr1"", ""⊻"", ""expr2""}}","{""Xor"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Xor[expr1, expr2]",Binary,Infix,None,True,
Nor,Nor,270,215,210,57,57,320,320,{},"{""⊽""}",{},"{{""expr1"", ""⊽"", ""expr2""}}","{""Nor"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Nor[expr1, expr2]",Binary,Infix,None,True,
Or,Or,270,215,210,57,57,320,320,{},"{""||"", ""∨""}",{},"{{""expr1"", ""||"", ""expr2""}, {""expr1"", ""∨"", ""expr2""}}","{""Or"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Or[expr1, expr2]",Binary,Infix,None,True,
Equivalent,Equivalent,260,205,205,58,58,315,315,{},"{""⧦""}",{},"{{""expr1"", ""⧦"", ""expr2""}}","{""Equivalent"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Equivalent[expr1, expr2]",Binary,Infix,None,True,
RoundImplies,RoundImplies,250,240,200,,59,310,310,{},"{""⥰""}",{},"{{""expr1"", ""⥰"", ""expr2""}}","{""RoundImplies"", ""["", ""expr1"", "","", ""expr2"", ""]""}","RoundImplies[expr1, expr2]",Binary,Infix,Right,False,
Implies,Implies,250,200,200,59,59,310,310,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""Implies"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Implies[expr1, expr2]",Binary,Infix,Right,True,
Conditioned,Conditioned,240,195,195,,59.5,305,305,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""Conditioned"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Conditioned[expr1, expr2]",Binary,Infix,None,True,
DoubleRightTee,DoubleRightTee,230,190,190,,59.6,300,300,{},"{""⊨""}",{},"{{""expr1"", ""⊨"", ""expr2""}}","{""DoubleRightTee"", ""["", ""expr1"", "","", ""expr2"", ""]""}","DoubleRightTee[expr1, expr2]",Binary,Infix,Right,False,
RightTee,RightTee,230,190,190,,59.6,300,300,{},"{""⊢""}",{},"{{""expr1"", ""⊢"", ""expr2""}}","{""RightTee"", ""["", ""expr1"", "","", ""expr2"", ""]""}","RightTee[expr1, expr2]",Binary,Infix,Right,False,
DoubleLeftTee,DoubleLeftTee,220,190,190,60,60,300,300,{},"{""⫤""}",{},"{{""expr1"", ""⫤"", ""expr2""}}","{""DoubleLeftTee"", ""["", ""expr1"", "","", ""expr2"", ""]""}","DoubleLeftTee[expr1, expr2]",Binary,Infix,Left,False,
DownTee,DownTee,220,190,190,60,60,300,300,{},"{""⊤""}",{},"{{""expr1"", ""⊤"", ""expr2""}}","{""DownTee"", ""["", ""expr1"", "","", ""expr2"", ""]""}","DownTee[expr1, expr2]",Binary,Infix,Left,False,
LeftTee,LeftTee,220,190,190,60,60,300,300,{},"{""⊣""}",{},"{{""expr1"", ""⊣"", ""expr2""}}","{""LeftTee"", ""["", ""expr1"", "","", ""expr2"", ""]""}","LeftTee[expr1, expr2]",Binary,Infix,Left,False,
UpTee,UpTee,220,190,190,60,60,390,390,{},"{""⊥""}",{},"{{""expr1"", ""⊥"", ""expr2""}}","{""UpTee"", ""["", ""expr1"", "","", ""expr2"", ""]""}","UpTee[expr1, expr2]",Binary,Infix,Left,False,
Perpendicular,Perpendicular,220,190,190,,60,390,390,{},"{""⟂""}",{},"{{""expr1"", ""⟂"", ""expr2""}}","{""Perpendicular"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Perpendicular[expr1, expr2]",Binary,Infix,None,False,
SuchThat,SuchThat,210,180,180,61,61,290,290,{},"{""∍""}",{},"{{""expr1"", ""∍"", ""expr2""}}","{""SuchThat"", ""["", ""expr1"", "","", ""expr2"", ""]""}","SuchThat[expr1, expr2]",Binary,Infix,Right,False,
Repeated,Repeated,200,170,170,62,62,,280,{},"{""..""}",{},"{{""expr"", ""..""}}","{""Repeated"", ""["", ""expr"", ""]""}",Repeated[expr],Unary,Postfix,Left,True,
RepeatedNull,RepeatedNull,200,170,170,62,62,,280,{},"{""...""}",{},"{{""expr"", ""...""}}","{""RepeatedNull"", ""["", ""expr"", ""]""}",RepeatedNull[expr],Unary,Postfix,Left,True,
Alternatives,Alternatives,190,160,160,63,64,,276,{},"{""|""}",{},"{{""expr1"", ""|"", ""expr2""}}","{""Alternatives"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Alternatives[expr1, expr2]",Binary,Infix,None,True,
Pattern,Pattern,190,150,150,64,64,,275,{},"{"":""}",{},"{{""symb"", "":"", ""expr""}}","{""Pattern"", ""["", ""symb"", "","", ""expr"", ""]""}","Pattern[symb, expr]",Binary,Infix,Non,True,
Optional,Optional,190,140,140,64,64,,270,{},"{"":""}",{},"{{""patt"", "":"", ""expr""}}","{""Optional"", ""["", ""patt"", "","", ""expr"", ""]""}","Optional[patt, expr]",Binary,Infix,Non,True,
StringExpression,StringExpression,180,135,135,65,65,,265,{},"{""~~""}",{},"{{""expr1"", ""~~"", ""expr2""}}","{""StringExpression"", ""["", ""expr1"", "","", ""exrp2"", ""]""}","StringExpression[expr1, expr2]",Binary,Infix,None,True,
Condition,Condition,170,130,130,66,66,,260,{},"{""/;""}",{},"{{""expr1"", ""/;"", ""expr2""}}","{""Condition"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Condition[expr1, expr2]",Binary,Infix,Left,True,
TwoWayRule,TwoWayRule,160,125,125,,66.5,255,255,{},"{""<->"", """"}",{},"{{""expr1"", ""<->"", ""expr2""}, {""expr1"", """", ""expr2""}}","{""TwoWayRule"", ""["", ""expr1"", "","", ""expr2"", ""]""}","TwoWayRule[expr1, expr2]",Binary,Infix,Right,True,
RuleDelayed,RuleDelayed,150,120,120,67,67,250,250,{},"{"":>"", """"}",{},"{{""expr1"", "":>"", ""expr2""}, {""expr1"", """", ""expr2""}}","{""RuleDelayed"", ""["", ""expr1"", "","", ""expr2"", ""]""}","RuleDelayed[expr1, expr2]",Binary,Infix,Right,True,
Rule,Rule,140,120,120,67,67.5,250,250,{},"{""->"", """"}",{},"{{""expr1"", ""->"", ""expr2""}, {""expr1"", """", ""expr2""}}","{""Rule"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Rule[expr1, expr2]",Binary,Infix,Right,True,
ReplaceAll,ReplaceAll,130,110,110,68,68,,240,{},"{""/.""}",{},"{{""expr1"", ""/."", ""expr2""}}","{""ReplaceAll"", ""["", ""expr1"", "","", ""expr2"", ""]""}","ReplaceAll[expr1, expr2]",Binary,Infix,Left,True,
ReplaceRepeated,ReplaceRepeated,130,110,110,68,68,,240,{},"{""//.""}",{},"{{""expr1"", ""//."", ""expr2""}}","{""ReplaceRepeated"", ""["", ""expr1"", "","", ""expr2"", ""]""}","ReplaceRepeated[expr1, expr2]",Binary,Infix,Left,True,
TimesBy,TimesBy,120,100,100,69,69,,230,{},"{""*=""}",{},"{{""expr1"", ""*="", ""expr2""}}","{""TimesBy"", ""["", ""expr1"", "","", ""expr2"", ""]""}","TimesBy[expr1, expr2]",Binary,Infix,Right,True,
SubtractFrom,SubtractFrom,120,100,100,69,69,,230,{},"{""-=""}",{},"{{""expr1"", ""-="", ""expr2""}}","{""SubtractFrom"", ""["", ""expr1"", "","", ""expr2"", ""]""}","SubtractFrom[expr1, expr2]",Binary,Infix,Right,True,
DivideBy,DivideBy,120,100,100,69,69,,230,{},"{""/=""}",{},"{{""expr1"", ""/="", ""expr2""}}","{""DivideBy"", ""["", ""expr1"", "","", ""expr2"", ""]""}","DivideBy[expr1, expr2]",Binary,Infix,Right,True,
AddTo,AddTo,120,100,100,69,69,,230,{},"{""+=""}",{},"{{""expr1"", ""+="", ""expr2""}}","{""AddTo"", ""["", ""expr1"", "","", ""expr2"", ""]""}","AddTo[expr1, expr2]",Binary,Infix,Right,True,
Function,Function,110,90,90,70,70,,220,{},"{""&""}",{},"{{""expr"", ""&""}}","{""Function"", ""["", ""expr"", ""]""}",Function[expr],Unary,Postfix,Left,True,
Colon,Colon,100,80,80,71,71,205,205,{},"{""∶""}",{},"{{""expr1"", ""∶"", ""expr2""}}","{""Colon"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Colon[expr1, expr2]",Binary,Infix,None,False,
FunctionApplyPostfix,Postfix,90,70,70,,72,,204,{},"{""//""}",{},"{{""expr1"", ""//"", ""expr2""}}","{""expr2"", ""["", ""expr1"", ""]""}",expr2[expr1],Binary,Infix,Left,True,Postfix[f[x]] will display as x//f. Precedence identifies Postfix with this operator.
VerticalSeparator,VerticalSeparator,80,60,60,73,73,202,203,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""VerticalSeparator"", ""["", ""expr1"", "","", ""expr2"", ""]""}","VerticalSeparator[expr1, expr2]",Binary,Infix,None,False,
Therefore,Therefore,70,50,50,74,73.5,201,202,{},"{""∴""}",{},"{{""expr1"", ""∴"", ""expr2""}}","{""Therefore"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Therefore[expr1, expr2]",Binary,Infix,Right,False,Precedence of Therefore and Because are swapped in notebook versus ToExpression.
Because,Because,60,50,50,74,74,201,201,{},"{""∵""}",{},"{{""expr1"", ""∵"", ""expr2""}}","{""Because"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Because[expr1, expr2]",Binary,Infix,Left,False,Precedence of Therefore and Because are swapped in notebook versus ToExpression.
ParameterizedFunction,Function,50,90,40,75,75,190,190,{},"{""""}",{},"{{""expr1"", """", ""expr2""}}","{""Function"", ""["", ""{"", ""expr1"", ""}"", "","", ""expr2"", ""]""}","Function[expr1, expr2]",Binary,Infix,Right,True,The arrow form of Function.
Set,Set,50,40,40,75,75,,190,{},"{""=""}",{},"{{""expr1"", ""="", ""expr2""}}","{""Set"", ""["", ""expr1"", "","", ""expr2"", ""]""}","Set[expr1, expr2]",Binary,Infix,Right,True,
SetDelayed,SetDelayed,50,40,40,75,75,,190,{},"{"":=""}",{},"{{""expr1"", "":="", ""expr2""}}","{""SetDelayed"", ""["", ""expr1"", "","", ""expr2"", ""]""}","SetDelayed[expr1, expr2]",Binary,Infix,Right,True,
TagSet,TagSet,50,670,40,75,75,,190,{},"{""/:""}","{""=""}","{{""symb"", ""/:"", ""expr1"", ""="", ""expr2""}}","{""TagSet"", ""["", ""symb"", "","", ""expr1"", ""]""}","TagSet[symb, expr1, expr2]",Ternary,Infix,Right,True,
TagSetDelayed,TagSetDelayed,50,670,40,75,75,,190,{},"{""/:""}","{"":=""}","{{""symb"", ""/:"", ""expr1"", "":="", ""expr2""}}","{""TagSetDelayed"", ""["", ""symb"", "","", ""expr1"", ""]""}","TagSetDelayed[symb, expr1, expr2]",Ternary,Infix,Right,True,
TagUnset,TagUnset,50,670,40,75,75,,190,{},"{""/;""}","{""=.""}","{{""symb"", ""/;"", ""expr"", ""=.""}}","{""TagUnset"", ""["", ""symb"", "","", ""expr"", ""]""}","Unset[Condition[symb, expr]]",Binary,Infix,Right,True,
Unset,Unset,50,670,40,75,75,,190,{},"{""=.""}",{},"{{""expr"", ""=.""}}","{""Unset"", ""["", ""expr"", ""]""}",Unset[expr],Unary,Postfix,Left,True,
UpSet,UpSet,50,40,40,75,75,,190,{},"{""^=""}",{},"{{""expr1"", ""^="", ""expr2""}}","{""UpSet"", ""["", ""expr1"", "","", ""expr2"", ""]""}","UpSet[expr1, expr2]",Binary,Infix,Right,True,
UpSetDelayed,UpSetDelayed,50,40,40,75,75,,190,{},"{""^:=""}",{},"{{""expr1"", ""^:="", ""expr2""}}","{""UpSetDelayed"", ""["", ""expr1"", "","", ""expr2"", ""]""}","UpSetDelayed[expr1, expr2]",Binary,Infix,Right,True,
Put,Put,40,30,30,76,76,,180,{},"{"">>""}",{},"{{""expr"", "">>"", ""filename""}}","{""Put"", ""["", ""expr"", "","", """", ""filename""}","Put[expr, ""filename""]",Binary,Infix,Left,True,
PutAppend,PutAppend,40,30,30,76,76,,180,{},"{"">>>""}",{},"{{""expr"", "">>>"", ""filename""}}","{""PutAppend"", ""["", ""expr"", "","", """", ""filename""}","PutAppend[expr, ""filename""]",Binary,Infix,Left,True,
CompoundExpression,CompoundExpression,30,10,10,77,77,,170,{},"{"";""}",{},"{{""expr1"", "";"", ""expr2""}}","{""CompoundExpression"", ""["", ""expr1"", "","", ""expr2"", ""]""}","CompoundExpression[expr1, expr2]",Binary,Infix,None,True,
CompoundExpressionNull,CompoundExpression,30,10,10,77,77,,170,{},"{"";""}",{},"{{""expr1"", "";"", ""expr2"", "";""}}","{""CompoundExpression"", ""["", ""expr1"", "","", ""expr2"", ""]""}","CompoundExpression[expr1, expr2, Null]",Unary,Postfix,Left,True,
FormBox,FormBox,20,670,5,78,78,,160,{},"{""\\`""}",{},"{{""expr1"", ""\\`"", ""expr2""}}","{""FormBox"", ""["", ""expr2"", "","", ""expr1"", ""]""}",,Binary,Infix,"Missing[""Unknown""]",True,
ImplicitSequence,Comma,10,670,755,,79,1,1,{},"{"""", "",""}",{},"{{""expr1"", """", ""expr2""}, {""expr1"", "","", ""expr2""}}","{""AngleBracket"", ""["", ""expr"", "","", ""…"", ""]""}","expr1, expr2",Binary,Infix,None,True,Operator Notations includes usages with invisible unicode characters.
